file_name,Question_Number,Question_Text,subject,chapter,subtopic
b.Â  Show that for every pair of elements a, b âˆˆ G, either aH=bH or aH and bH are disjoint.,,,
"c.Â  Use the above to argue that the order of H must divide the order of G.""",,,,,
GATE_CS_1999.csv,67,Which of the following is the most powerful parsing method?,Compiler Design,Phases of Compilation,Parsing
GATE_CS_1999.csv,68,Which of the following is correct?,,,
GATE_CS_1999.csv,69,The least number of temporary variables required to create a three-address code in static single assignment form for the expression a=b * d - c + b * e - c is ______,Compiler Design,Intermediate Code Generation,
GATE_CS_1999.csv,70,A grammar that is both left and right recursive for a non-terminal is,Theory of Computation,Formal Languages and Automata,Context-free grammars and push-down automata
GATE_CS_2000.csv,1,The following C declarations C struct node { int i ; float j ; }; struct node * s [ 10 ] ; define s to be,Programming and Data Structures,Programming in C,
GATE_CS_2000.csv,2,Which of the following need not necessarily be saved on a context switch between processes?,Operating System,Core Concepts,Processes and Threads
GATE_CS_2000.csv,3,"Suppose the time to service a page fault is on the average 10 milliseconds, while a memory access takes 1 microsecond. Then a 99.99% hit ratio results in average memory access time of",Operating System,Memory Management,Virtual Memory
GATE_CS_2000.csv,4,"The value of j at the end of the execution of the following C program. C int incr ( int i ) { static int count = 0 ; count = count + i ; return ( count ); } main () { int i , j ; for ( i = 0 ; i <= 4 ; i ++ ) j = incr ( i ); }",Programming and Data Structures,Programming in C,
GATE_CS_2000.csv,5,A graphics card has on board memory of 1 MB. Which of the following modes can the card not support?,Computer Organization and Architecture,I/O,I/O Interface
GATE_CS_2000.csv,6,"An n x n array v is defined as follows: v[i, j] = i-j for all i, j, 1 <= i <= n, 1 <= j <= n The sum of the elements of the array v is",Engineering Mathematics,Discrete Mathematics,Combinatorics
GATE_CS_2000.csv,7,"X, Y and Z are closed intervals of unit length on the real line. The overlap of X and Y is half a unit. The overlap of Y and Z is also half a unit. Let the overlap of X and Z be k units. Which of the following is true?",Engineering Mathematics,Discrete Mathematics,"Sets, relations, functions, partial orders and lattices"
GATE_CS_2000.csv,8,"Suppose you are given an array s[1..n] and a procedure reverse (s, i, j) which reverses the order of elements in a between positions i and j (both inclusive). What does the following sequence do, where 1 <= k <= n: reverse(s, 1, k) ; reverse(s, k + 1, n); reverse(s, l, n);",Algorithms,Basic Techniques,"Searching, sorting, hashing"
GATE_CS_2000.csv,9,"Let G be an undirected graph. Consider a depth-first traversal of G, and let T be the resulting depth-first search tree. Let u be a vertex in G and let v be the first new (unvisited) vertex visited after visiting u in the traversal. Which of the following statements is always true?",Algorithms,Graph Algorithms,"Graph traversals, minimum spanning trees, shortest paths"
GATE_CS_2000.csv,10,Given the following relation instance. x  y  z 1  4  2 1  5  3 1  6  3 3  2  2 Which of the following functional dependencies are satisfied by the instance? (GATE CS 2000),Databases,Database Design,"Integrity constraints, normal forms"
GATE_CS_2000.csv,11,"Given the relations employee (name, salary, deptno) and
department (deptno, deptname, address) Which of the following queries cannot be expressed using the basic relational algebra operations (U, -, x, [Tex]\pi[/Tex] , [Tex]\sigma[/Tex] , [Tex]\rho[/Tex] )?",Databases,Data Models,Relational model
