Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images
1,"Assume that in a certain computer, the virtual addresses are 64 bits long and the physical addresses are 48 bits long. The memory is word addressable. The page size is 8k Band the word size is 4 bytes. The Translation  Look-aside Buffer (TLB) in the address translation path has 128 valid entries. At most how many distinct virtual addresses can be translated without any TLB miss?",,16 x 2 10,,8 x 2 20,,4 x 2 20,,256 x 2 10,,D,MCQ,"Number of words in a page = Page size / word size = 8 KB / 4 B = 2 K = 2 * 2 10 Since TLB can hold 128 valid entries, therefore, TLB can translate = 128 * number of words in page = 128 * 2 * 2 10 = 256 * 2 10 addresses with TLB hit So, option (D) is correct.",
2,"The index node (inode) of a Unix-like file system has 12 direct, one single-indirect and one double-indirect pointer The disk block size is 4 kB and the disk block addresses 32-bits long. The maximum possible file  size is (rounded off to 1 decimal place) __________ GB. Note: This was Numerical Type question.",,4,,2,,1,,0.50,,A,MCQ,"So, answer is 4 .",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2019/Explanation_Images/b7b8c04520816fca-FRMIHxmxPMb0FqXLh2hkkN3gWqlFIK.gif
3,"Consider the following four processes with arrival times (in milliseconds) and their length of  CPU  burst  (in  milliseconds)  as  shown  below: These processes are run on a single processor using preemptive Shortest Remaining Time First scheduling algorithm. If the average waiting time of the processes is 1 millisecond, then the value of Z is  __________. Note: This was Numerical Type question.",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2019/Question_Images/7172698fcfa335a4-yYJpzU7lIaygn35kcUjDQa8f2imTYl.png,2,,3,,1,,4,,A,MCQ,"Using shortest remaining time (SRTF) The Gant chart till t = 4 will be: Now, there are two possible cases: Case 1 (z<4): Then average waiting time =(1+0+(1+x) +0)/4=1 (2+x)/4=1⇒x=2. Case 2 (z>4): Then average waiting time = (1+0+1+3)/4=1 5/4≠1⇒ This case is invalid. Correct Answer: 2 .  Watch GeeksforGeeks Video explanation:",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2019/Explanation_Images/a38e7639ec676677-BP6T0Asm8MdepVN43ORfosFAZN1yKJ.webp
4,Consider the following statements: I. The smallest element in a max-heap is always at a leaf node. II. The second largest element in a max-heap is always a child of the root node. III. A max-heap can be constructed from a binary search tree in Θ(n) time. IV. A binary search tree can be constructed from a max-heap in Θ(n) time. Which of the above statements is/are TRUE?,,"II, III and IV",,"I, II and III",,"I, III and IV",,"I, II and IV",,B,MCQ,"Statement (I) is correct. In a max heap, the smallest element is always present at a leaf node. So we need to check for all leaf nodes for the minimum value. Worst case complexity will be O(n) 12 /  \\ /      \\ 8         7 / \\        / \\ /     \\    /     \\ 2      3   4       5 Statement (II) is also correct, otherwise it will not satisfy max-heap property .  Statement (III) is also correct, as build-heap always takes Θ(n) time, (Refer: Convert BST to Max Heap ).  Statement (IV) is false, because construction of binary search tree from max-heap will take O(nlogn) time.   So, option (B) is correct.",
5,"Consider the following snapshot of a system running n concurrent processes. Process i is holding X i instances of a resource R, 1 ≤ i ≤ n. Assume that all instances of R arecurrently in use. Further, for all i, process i can place a request for at most Y i additional instances of R while holding the X t instances it already has. Of the n processes, there are exactly two processes p and q such that Y p = Y q = 0. Which one of the following conditions guarantees that no other process apart from p and q can complete execution?",,"X p + X q < Min {Y k ⏐ 1 ≤ k ≤ n, k ≠ p, k ≠ q}",,"Min (X p , X q ) ≥ Min {Y k ⏐ 1 ≤ k≤ n, k ≠ p, k ≠ q}",,"Min (X p , X q ) ≤ Max {Y k ⏐ 1 ≤ k ≤ n, k ≠ p, k ≠ q}",,"X p + X q < Max {Y k ⏐ 1 ≤ k ≤ n, k ≠ p, k ≠ q}",,A,MCQ,"Xi → Holding resources for process pi, Yi → Additional resources for process pi. As process p and q doesn’t require any additional resources, it completes its execution and available resources are (Xp + Xq)  There are (n – 2) process pi (1< i < n, i ≠ p, q) with their requirements as Yi (1 < i < n, i ≠ p, q). In order to not execute process pi, no instance of Yi should be satisfied with (Xp + Xq) resources, i.e., minimum of Yi instances should be greater than (Xp + Xq).   So, option (A) is correct.",
6,"Let G be any connection, weighted, undirected graph: I. G has a unique minimum spanning tree if no two edges of G have the same weight. II. G has a unique minimum spanning tree if, for every cut G, there is a unique minimum weight edge crossing the cut. Which of the above two statements is/are TRUE?",,Neither I nor II,,I only,,II only,,Both I and II,,D,MCQ,"Statement (I) is always correct, as you need only (n-1) edges with n node graph for minimum spanning tree. You can prove that there will not be any other choice of edges other than first (n-1) lighter weight edges using Krushkal algorithm . Note that converse of statement (I) is also true. Statement (II) is also correct. Suppose MST is not unique, i.e., there exist T1 and T2 where both of them are MST and they are not identical. Suppose e1 ∈ T1 but e1 ∉ T2, if we remove e1 from T1, then we will have two trees with vertex sets V1 and V2. By problem 1 of HW #2, we know that e1 is a minimum cost edge in the cut between V1 and V2. Now consider T2, again problem 1 of HW #2, we know that T2 contains an edge e2 that is a minimum cost edge of the cut between V1 and V2. However, since e2 ≠ e1 we must have: c(e1) = c(e2) which is contradicting with the assumption that for every cut of the graph, the edge with the smallest cost across that cut is unique. Note that converse of statement (II) may be true. So, option (D) is correct.",
7,"There are n unsorted arrays: A 1 , A 2 , ....,A n . Assume that n is odd. Each of A 1 , A 2 , ...., A n contains n distinct elements. There are no common elements between any two arrays. The worst-case time complexity of computing the median of the medians of A 1 , A 2 , ....,A n is ________ .",,Ο(n log n),,Ο(n 2 ),,Ο(n),,Ω(n 2 log n),,B,MCQ,"Since given arrays are not sorted, so the time complexity to find median is O(n) in an unsorted array . You need to apply this algorithm n time to find all medians and again once to find the median of all these medians. So total time complexity is, = O(n)*O(n) + O(n) = O(n 2 ) + O(n) ≈ O(n 2 ) So, option (B) is correct.",
8,"Consider the following grammar and the semantic actions to support the inherited type declaration attributes. Let X 1 , X 2 , X 3 , X 4 , X 5 and X 6 be the  placeholders for the non-terminals D, T, L or L 1 in  the  following  table: Which one of the following are the appropriate choices for X 1 , X 2 , X 3 and X 4 ?",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2019/Question_Images/72b6898816b7ded3-lE4xtcZg8WHAVmVbV22x8oTnjqitrk.png,"X 1 = L,  X 2 = T,  X 3 = L 1 ,  X 4 = L",,"X 1 = L,  X 2 = L,  X 3 = L 1 ,  X 4 = T",,"X 1 = T,  X 2 = L,  X 3 = L 1 ,  X 4 = T",,"X 1 = T,  X 2 = L,  X 3 = T,  X 4 = L 1",,A,MCQ,"According to Inherited attribute definition, an attribute is inherited if the attribute value of a parse-tree node is determined from attribute values of its parent and siblings.  So, semantic rules should be as following below: D → TL {L.idtype = T.stype} T → int {T.stype = int} T → float {T.stype = float} L → L1, id {L1.itype = L.itype} addtype(id.entry, L.itype) L → id addtype(id.entry, L.itype) Option (A) is correct.",
9,"Consider the first order predicate formula: ∀x [( ∀z z|x ⇒ ((z = x) ∨ (z = 1))) ⇒ ∃w(w > x) ∧ (∀z z⏐w ⇒ ((w = z) ∨ (z = 1)))] Here ‘a⏐b’ denotes that ‘a divides b’, where a and b are integers. Consider the following sets: S 1 : {1, 2, 3, ..., 100} S 2 : Set of all positive integers S 3 : Set of  all integers Which of the above sets satisfy φ ?",,S 1 and S 3,,S 2 and S 3,,"S 1 , S 2 and S 3",,S 1 and S 2,,B,MCQ,"Given predicate φ: ∀x [( ∀z z|x ⇒ ((z = x) ∨ (z = 1))) ⇒ ∃w(w > x) ∧ (∀z z⏐w ⇒ ((w = z) ∨ (z = 1)))] It simply says that if z is a prime number in the set then there exists another prime number is the set which is larger.   Therefore, it can not be satisfy in finite , like 97 ∈ S 1 there exists no prime number in the set which is greater.  Only sets S 2 and S 3 satisfy φ.   Option (B) is correct.",
10,"Consider the augmented grammar given below: S′  → S S →  ⏐id L →  L,  S⏐S Let I 0 = CLOSURE ({[S′ → S]}). The number of items in the set GOTO (I 0 , <) is __________. Note: This was Numerical Type question.",,5,,4,,3,,1,,A,MCQ,"Total number of items in the set GOTO (I 0 , <) is 5 .  So, option (A) is correct.",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2019/Explanation_Images/49e4b14e37c891c7-gAkcv8JLFgZ3JYPvMh8lpgbV3JFQ6T.png
