file_name,Question_Number,Question_Text,subject,chapter,subtopic
GATE_CS_2011.csv,57,"On a non-pipelined sequential processor, a program segment, which is a part of the interrupt service routine, is given to transfer 500 bytes from an I/O device to memory. Initialize the address register Initialize the count to 500 LOOP: Load a byte from device Store in memory at address given by address register Increment the address register Decrement the count If count != 0 go to LOOP Assume that each statement in this program is equivalent to machine instruction which takes one clock cycle to execute if it is a non-load/store instruction. The load-store instructions take two clock cycles to execute. The designer of the system also has an alternate approach of using DMA controller to implement the same transfer. The DMA controller requires 20 clock cycles for initialization and other overheads. Each DMA transfer cycle takes two clock cycles to transfer one byte of data from the device to the memory. What is the approximate speedup when the DMA controller based design is used in place of the interrupt driven program based input-output?",Computer Organization and Architecture,I/O,Interrupts and DMA
GATE_CS_2011.csv,58,We are given a set of n distinct elements and an unlabeled binary tree with n nodes. In how many ways can we populate the tree with the given set so that it becomes a binary search tree?,Programming and Data Structures,Non-Linear Data Structures,Trees
GATE_CS_2011.csv,59,"Which one of the following options is CORRECT given three positive integers x, y and z, and a predicate? P(x) = Â¬(x=1)âˆ§âˆ€y(âˆƒz(x=y*z)â‡’(y=x)âˆ¨(y=1))",Engineering Mathematics,Discrete Mathematics,Logic
GATE_CS_2011.csv,60,"Given i=âˆš-1, what will be the evaluation of the integral [Tex]\int_{0}^{\pi/2} \frac{\cos x + i\sin x}{\cos x - i\sin x} dx[/Tex] ?",Engineering Mathematics,Calculus,Integration
GATE_CS_2011.csv,61,"Consider a database table T containing two columns X and Y each of type integer. After the creation of the table, one record (X=1, Y=1) is inserted in the table.          Let MX and My denote the respective maximum values of X and Y among all records in the table at any point in time. Using MX and MY, new records are inserted in the table 128 times with X and Y values being MX+1, 2*MY+1 respectively. It may be noted that each time after the insertion, values of MX and MY change. What will be the output of the following SQL query after the steps mentioned above are carried out? SELECT Y FROM T WHERE X=7;",Databases,Data Models,Relational model (queries)
GATE_CS_2011.csv,62,"Consider a finite sequence of random values X = { x 1 , x 2 ,..., x n }. Let Î¼ x be the mean and Ïƒ x be the standard deviation of X . Let another finite sequence Y of equal length be derived from this as y i = a*x i + b , where a and b are positive constants. Let Î¼ y be the mean and Ïƒ y be the standard deviation of this sequence. Which one of the following statements is INCORRECT?",Engineering Mathematics,Probability and Statistics,Descriptive Statistics
GATE_CS_2011.csv,63,"Consider the following table of arrival time and burst time for three processes P0, P1 and P2. Process   Arrival time   Burst Time P0            0 ms          9 ms P1            1 ms          4 ms P2            2 ms          9 ms The pre-emptive shortest job first scheduling algorithm is used. Scheduling is carried out only at arrival or completion of processes. What is the average waiting time for the three processes?",Operating System,Scheduling,CPU scheduling algorithms
GATE_CS_2011.csv,64,"Which of the given options provides the increasing order of asymptotic complexity of functions f1, f2, f3 and f4?  f1(n) = 2^n f2(n) = n^(3/2) f3(n) = nLogn f4(n) = n^(Logn)",Algorithms,Complexity Analysis,Asymptotic analysis
GATE_CS_2011.csv,65,Consider the matrix as given below. Which one of the following options provides the correct values of the eigenvalues of the matrix?,Engineering Mathematics,Linear Algebra,Eigenvalues
GATE_CS_2012.csv,1,"The cost function for a product in a firm is given by 5q 2 , where q is the amount of production. The firm can sell the product at a market price of Rs 50 per unit. The number of units to be produced by the firm such that the profit is maximized is",Engineering Mathematics,Calculus,Extrema
GATE_CS_2012.csv,2,"A file system with 300 GByte disk uses a file descriptor with 8 direct block addresses, 1 indirect block address and 1 doubly indirect block address. The size of each disk block is 128 Bytes and the size of each disk block address is 8 Bytes. The maximum possible file size in this file system is",Operating System,File Systems,File organization
GATE_CS_2012.csv,3,"Consider the virtual page reference string 1, 2, 3, 2, 4, 1, 3, 2, 4, 1 On a demand paged virtual memory system running on a computer system that main memory size of 3 pages frames which are initially empty. Let LRU, FIFO and OPTIMAL denote the number of page faults under the corresponding page replacements policy. Then",Operating System,Memory Management,Virtual memory
GATE_CS_2012.csv,4,"Suppose ( A , B) and ( C ,D) are two relation schemas. Let r1 and r2 be the corresponding relation instances. B is a foreign key that refers to C in r2. If data in r1 and r2 satisfy referential integrity constraints, which of the following is ALWAYS TRUE?",Databases,Database Design,Integrity constraints
GATE_CS_2012.csv,5,Consider an instance of TCPâ€™s Additive Increase Multiplicative Decrease (AIMD) algorithm where the window size at the start of the slow start phase is 2 MSS and the threshold at the start of the first transmission is 8 MSS. Assume that a timeout occurs during the fifth transmission. Find the congestion window size at the end of the tenth transmission.,Computer Networks,Transport Layer,TCP congestion control
GATE_CS_2012.csv,6,"Consider the set of strings on {0,1} in which, every substring of 3 symbols has at most two zeros. For example, 001110 and 011001 are in the language, but 100010 is not. All strings of length less than 3 are also in the language. A partially completed DFA that accepts this language is shown below. The missing arcs in the DFA are",Theory of Computation,Formal Languages and Automata,Regular languages and finite automata
GATE_CS_2012.csv,7,The height of a tree is defined as the number of edges on the longest path in the tree. The function shown in the pseudocode below is invoked as height (root) to compute the height of a binary tree rooted at the tree pointer root. The appropriate expression for the two boxes B1 and B2 are,Programming and Data Structures,Non-Linear Data Structures,Trees
GATE_CS_2012.csv,8,Register renaming is done in pipelined processors,Computer Organization and Architecture,Pipelining,Hazards
GATE_CS_2012.csv,9,Consider a random variable X that takes values +1 and âˆ’1 with probability 0.5 each. The values of the cumulative distribution function F(x) at x = âˆ’1 and +1 are,Engineering Mathematics,Probability and Statistics,Random Variables
GATE_CS_2012.csv,10,"Consider the following C program C int a , b , c = 0 ; void prtFun ( void ); int main () { static int a = 1 ; /* line 1 */ prtFun (); a += 1 ; prtFun (); printf ( "" \n %d %d "" , a , b ) ; } void prtFun ( void ) { static int a = 2 ; /* line 2 */ int b = 1 ; a += ++ b ; printf ( "" \n %d %d "" , a , b ); } What output will be generated by the given code segment?",Programming and Data Structures,Programming in C,Variables and scope
GATE_CS_2012.csv,11,"Consider the following relations A, B, C. How many tuples does the result of the following relational algebra expression contain? Assume that the schema of A U B is the same as that of A. Table A Id   Name    Age ---------------- 12   Arun    60 15   Shreya  24 99   Rohit   11 Table B Id   Name   Age ---------------- 15   Shreya  24 25   Hari    40 98   Rohit   20 99   Rohit   11 Table C Id   Phone  Area ----------------- 10   2200   02 99   2100   01",Databases,Data Models,Relational model (queries)
GATE_CS_2012.csv,12,"For the grammar below, a partial LL(1) parsing table is also presented along with the grammar. Entries that need to be filled are indicated as E1, E2, and E3. [Tex]\\epsilon[/Tex] is the empty string, $ indicates end of input, and, | separates alternate right hand sides of productions.",Compiler Design,Phases of Compilation,Syntax analysis
GATE_CS_2012.csv,13,"Consider the date same as above question. The appropriate entries for E1, E2, and E3 are",Compiler Design,Phases of Compilation,Syntax analysis
GATE_CS_2012.csv,14,Consider the data given in previous question . The size of the cache tag directory is,Computer Organization and Architecture,Memory Hierarchy,Cache memory
GATE_CS_2012.csv,15,Which of the following transport layer protocols is used to support electronic mail?,Computer Networks,Application Layer,Email
GATE_CS_2012.csv,16,Choose the most appropriate alternative from the options given below to complete the followingÂ sentence: Despite several â€“â€“â€“â€“â€“â€“â€“â€“â€“ the mission succeeded in its attempt to resolve the conflict.,,,
GATE_CS_2012.csv,17,Which one of the following options is the closest in meaning to the word given below?  Mitigate,,,
GATE_CS_2012.csv,18,Choose the grammatically INCORRECT sentence:,,,
GATE_CS_2012.csv,19,Choose the most appropriate alternative from the options given below to complete the followingÂ sentence: Sureshâ€™s dog is the one â€“â€“â€“â€“â€“â€“â€“â€“â€“ was hurt in the stampede.,,,
GATE_CS_2012.csv,20,"Wanted Temporary, Part-time persons for the post of Field Interviewer to conduct personalÂ interviews to collect and collate economic data. Requirements: High School-pass, must beÂ available for Day, Evening and Saturday work. Transportation paid, expenses reimbursed.Â Which one of the following is the best inference from the above advertisement?",,,
GATE_CS_2012.csv,21,A political party orders an arch for the entrance to the ground in which the annual convention is being held. The profile of the arch follows the equation y = 2x â€“ 0.1x 2 where y is the height of the arch in meters. The maximum possible height of the arch is,Engineering Mathematics,Calculus,Extrema
GATE_CS_2012.csv,22,"An automobile plant contracted to buy shock absorbers from two suppliers X and Y. X supplies 60% and Y supplies 40% of the shock absorbers. All shock absorbers are subjected to a quality test. The ones that pass the quality test are considered reliable. Of Xâ€™s shock absorbers, 96% are reliable. Of Yâ€™s shock absorbers, 72% are reliable.   The probability that a randomly chosen shock absorber, which is found to be reliable, is made by Y is",Engineering Mathematics,Probability and Statistics,Conditional Probability
GATE_CS_2012.csv,23,Which of the following assertions are CORRECT? P: Adding 7 to each entry in a list adds 7 to the mean of the list Q: Adding 7 to each entry in a list adds 7 to the standard deviation of the list R: Doubling each entry in a list doubles the mean of the list S: Doubling each entry in a list leaves the standard deviation of the list unchanged,Engineering Mathematics,Probability and Statistics,Descriptive Statistics
GATE_CS_2012.csv,24,"Given the sequence of terms, AD CG FK JP, the next term is",,,
GATE_CS_2012.csv,25,"Consider a source computer(S) transmitting a file of size 10 6 bits to a destination computer(D)over a network of two routers (R 1 and R 2 ) and three links(L 1 , L 2 , and L 3 ). L 1 connects S to R 1 ; L 2 connects R 1 to R 2 ; and L 3 connects R 2 to D.Let each link be of length 100 km. Assume signals travel over each link at a speed of 10 8 meters per second.Assume that the link bandwidth on each link is 1Mbps. Let the file be broken down into 1000 packets each of size 1000 bits. Find the total sum of transmission and propagation delays in transmitting the file from S to D?",Computer Networks,Network Models,Delay models
GATE_CS_2012.csv,26,Consider the following transactions with data items P and Q initialized to zero: T1: read (P) ; read (Q) ; if P = 0 then Q : = Q + 1 ; write (Q) ; T2: read (Q) ; read (P) ; if Q = 0 then P : = P + 1 ; write (P) ; Any non-serial interleaving of T1 and T2 for concurrent execution leads to,Databases,Transactions,Concurrency control
GATE_CS_2012.csv,27,"Table A Id   Name    Age ---------------- 12   Arun    60 15   Shreya  24 99   Rohit   11 Table B Id   Name   Age ---------------- 15   Shreya  24 25   Hari    40 98   Rohit   20 99   Rohit   11 Table C Id   Phone  Area ----------------- 10   2200   02 99   2100   01 Consider the above tables A, B and C. How many tuples does the result of the following SQL query contains? SELECT A.id FROM   A WHERE  A.age > ALL (SELECT B.age FROM   B WHERE  B. name = ""arun"")",Databases,Data Models,Relational model (queries)
GATE_CS_2012.csv,28,"Consider the following code: C++ int a , b , c = 0 ; void prtFun ( void ); void main () { static int a = 1 ; prtFun (); a += 1 ; prtFun () printf ( "" \n %d %d "" , a , b ); } void prtFun ( void ) { static int a = 2 ; int b = 1 ; a += ++ b ; printf ( "" \n %d %d "" , a , b ); } What output will be generated by the given code d\\segment if: Line 1 is replaced by â€œauto int a = 1;â€ Line 2 is replaced by â€œregister int a = 2;â€ (GATE CS 2012)",Programming and Data Structures,Programming in C,Variables and scope
GATE_CS_2012.csv,29,"A list of n strings, each of length n, is sorted into lexicographic order using the merge-sort algorithm. The worst case running time of this computation is",Algorithms,Complexity Analysis,Algorithm analysis
GATE_CS_2012.csv,30,The amount of ROM needed to implement a 4 bit multiplier is,Digital Logic,Circuits,Combinational circuits
GATE_CS_2012.csv,31,Which of the following problems are decidable?,Theory of Computation,Computability,Undecidability
GATE_CS_2012.csv,32,The truth table represents the Boolean function,Digital Logic,Boolean Algebra,
GATE_CS_2012.csv,33,The decimal value 0.5 in IEEE single precision floating point representation has,Digital Logic,Number Representations,Floating-point numbers
