Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images,subject,chapter,subtopic
1,"A bit-stuffing based framing protocol uses an 8-bit delimiter pattern of 01111110. If the output bit-string after stuffing is 01111100101, then the input bit-string is",,0111110100,,0111110101,,0111111101,,0111111111,,B,MCQ,"Bit Stuffing is used to create framing . 8-bit delimiter pattern is 01111110. The output bit-string after stuffing is 0111110 0 101. The above highlighted bit is stuffed bit. So input bit-string must be 0111110101. Alternative approach - The given delimiter pattern is 01111110. Delimiters are used to define the beginning and end of data. Since delimiters are special bit-patterns used for special purposes, they must be avoided in the encoded form of the input data. To achieve this, Bit Stuffing is used. On the sending side, any time five consecutive 1's have been transmitted from the body of the message (i.e., excluding when the sender is trying to transmit the distinguished 01111110 delimiter sequence), the sender inserts a 0 before transmitting the next bit.  If the receiver gets five consecutive 1's, it makes its decision based on the next bit it sees (i.e., the bit following the five 1s).  If the next bit is a 0, it must have been stuffed, and so the receiver removes it.  If the next bit is a 1, then one of two things is true: Either this is the end-of-frame marker or an error has been introduced into the bit stream. Going further and reading the next bit distinguishes these two cases. If the next bit is 0, then it is the end of frame marker (delimiter 01111110), and if the next bit is a 1 then there is must be an error in the frame and it is discarded. So, For the data sequence 0111111101 Encoding would be - 011111 0 1101 Here the bold 0 is stuffed to distinguish it from the delimiter sequence. Coming back to the question, the encoded string is - 01111100101 and when the receiver senses that it has received 5 consecutive 1's then  If the next bit is 0, then it is stuffed If the next bit is 1, then next to next bit would tell if the frame has ended or there is an error. In this case, the next bit is 0 which means it was stuffed, so the corresponding input sequence is- 0111110101. Therefore, option (B) is correct.",,Computer Networks,Data Link Layer,Framing
2,You have an array of n elements. Suppose you implement quick sort by always choosing the central element of the array as the pivot. Then the tightest upper bound for the worst case performance is,,O(n 2 ),,O(n*log(n)),,Theta(n*log(n)),,O(n 3 ),,A,MCQ,"For any input, there are some permutations for which worst case will be O(n 2 ).  In some cases, choosing the middle element minimizes the chances of encountering O(n 2 ) , but in worst case it can go to O(n 2 ). Whichever element we take as Pivot, either first or middle, worst case will be O(n 2 ) since Pivot is fixed in position. While choosing a random pivot minimizes the chances of encountering worst case i.e. O(n 2 ) . Refer this article on Quick Sort.",,Algorithms,Complexity Analysis,Algorithm analysis
3,"A system uses 3 page frames for storing process pages in main memory. It uses the Least Recently Used (LRU) page replacement policy. Assume that all the page frames are initially empty. What is the total number of page faults that will occur while processing the page reference string given below? 4, 7, 6, 1, 7, 6, 1, 2, 7, 2",,4,,5,,6,,7,,C,MCQ,"What is a Page fault ? An interrupt that occurs when a program requests data that is not currently in real memory. The interrupt triggers the operating system to fetch the data from a virtual memory and load it into RAM.  Now, 4, 7, 6, 1, 7, 6, 1, 2, 7, 2 is the reference string, you can think of it as data requests made by a program.  Now the system uses 3 page frames for storing process pages in main memory. It uses the Least Recently Used (LRU) page replacement policy. [ ] - Initially page frames are empty.i.e. no process pages in main memory. [ 4 ] - Now 4 is brought into 1st frame (1st page fault) Explanation: Process page 4 was requested by the program, but it was not in the main memory(in form of page frames),which resulted in a page fault, after that process page 4 was brought in the main memory by the operating system. [ 4 7 ] - Now 7 is brought into 2nd frame (2nd page fault) - Same explanation. [ 4 7 6 ] - Now 6 is brought into 3rd frame (3rd page fault) [ 1 7 6 ] - Now 1 is brought into 1st frame, as 1st frame was least recently used(4th page fault). After this 7, 6 and 1 are were already present in the frames hence no replacements in pages. [ 1 2 6 ] - Now 2 is brought into 2nd frame, as 2nd frame was least recently used(5th page fault). [ 1 2 7 ] -Now 7 is brought into 3rd frame, as 3rd frame was least recently used(6th page fault). Hence, total number of page faults(also called pf) are 6. Therefore, C is the answer.",,Operating System,Memory Management,Virtual memory
4,"Consider a paging hardware with a TLB. Assume that the entire page table and all the pages are in the physical memory. It takes 10 milliseconds to search the TLB and 80 milliseconds to access the physical memory. If the TLB hit ratio is 0.6, the effective memory access time (in milliseconds) is _________.",,120,,122,,124,,118,,B,MCQ,"TLB stands for Translation Lookaside Buffer . In Virtual memory systems, the cpu generates virtual memory addresses. But, the data is stored in actual physical memory i.e. we need to place a physical memory address on the memory bus to fetch the data from the memory circuitry. So, a special table is maintained by the operating system called the Page table. This table contains a mapping between the virtual addresses and physical addresses. So, every time a cpu generates a virtual address, the operating system page table has to be looked up to find the corresponding physical address. To speed this up, there is hardware support called the TLB. The TLB is a high speed cache of the page table i.e. contains recently accessed virtual to physical translations. TLB hit ratio- A TLB hit is the no of times a virtual-to-physical address translation was already found in the TLB, instead of going all the way to the page table which is located in slower physical memory. TLB hit ratio is nothing but the ratio of TLB hits/Total no of queries into TLB. In the case that the page is found in the TLB (TLB hit) the total time would be the time of search in the TLB plus the time to access memory, so TLB_hit_time := TLB_search_time + memory_access_time In the case that the page is not found in the TLB (TLB miss) the total time would be the time to search the TLB (you don't find anything, but searched nontheless) plus the time to access memory to get the page table and frame, plus the time to access memory to get the data, so TLB_miss_time := TLB_search_time + memory_access_time + memory_access_time But this is in individual cases, when you want to know an average measure of the TLB performance, you use the Effective Access Time, that is the weighted average of the previous measures  EAT := TLB_miss_time * (1- hit_ratio) + TLB_hit_time * hit_ratio.  EAT := (TLB_search_time + 2*memory_access_time) * (1- hit_ratio) + (TLB_search_time + memory_access_time)* hit_ratio.    As both page table and page are in physical memory T(eff) = hit ratio * (TLB access time + Main memory access time) +           (1 - hit ratio) * (TLB access time + 2 * main memory time)        = 0.6*(10+80) + (1-0.6)*(10+2*80)        = 0.6 * (90) + 0.4 * (170)        = 122",,Operating System,Memory Management,Virtual memory
5,"The memory access time is 1 nanosecond for a read operation with a hit in cache, 5 nanoseconds for a read operation with a miss in cache, 2 nanoseconds for a write operation with a hit in cache and 10 nanoseconds for a write operation with a miss in cache. Execution of a sequence of instructions involves 100 instruction fetch operations, 60 memory operand read operations and 40 memory operand write operations. The cache hit-ratio is 0.9. The average memory access time (in nanoseconds) in executing the sequence of instructions is __________.",,1.26,,1.68,,2.46,,4.52,,B,MCQ,"The question is to find the time taken for, ""100 fetch operation and 60 operand red operations and 40 memory operand write operations""/""total number of instructions"". Total number of instructions= 100+60+40 =200 Time taken for 100 fetch operations(fetch =read) = 100*((0.9*1)+(0.1*5)) // 1 corresponds to time taken for read // when there is cache hit = 140 ns //0.9 is cache hit rate Time taken for 60 read operations = 60*((0.9*1)+(0.1*5)) = 84ns Time taken for 40 write operations = 40*((0.9*2)+(0.1*10)) = 112 ns // Here 2 and 10 the time taken for write when there is cache // hit and no cache hit respectively So,the total time taken for 200 operations is = 140+84+112 = 336ns Average time taken = time taken per operation = 336/200 = 1.68 ns",,Computer Organization and Architecture,Memory Hierarchy,Cache memory
6,The minimum number of arithmetic operations required to evaluate the polynomial P(X) = X 5 + 4X 3 + 6X + 5 for a given value of X using only one temporary variable.,,6,,7,,8,,9,,B,MCQ,"P(X) = x 5 + 4x 3 + 6x + 5 =x ( x 4 + 4x 2 + 6 ) +5 =x ( x ( x 3 + 4x ) + 6 ) + 5 =x ( x ( x ( x 2 + 4 ) ) + 6 ) + 5 =x ( x ( x (x (x) + 4 ) ) + 6 ) + 5 Let T be a temporary variable to store intermediate results. 1. T = (x) * (x) 2. T = T + 4 3. T = (x) * (T) 4. T = (x) * (T) 5. T = T + 6 6. T = (x) * T 7. T = T + 5 Thus, we need 7 operations if we are to use only one temporary variable.",,Algorithms,Basic Techniques,Mathematical foundations
7,Consider the decision problem 2CNFSAT defined as follows:,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2014/Question_Images/4548a576acd3e4b7-DlG6i6oGHS2Jg5NoKtnR7XxlqBrI3f.png,NP-Complete.,,solvable in polynomial time by reduction to directed graph reachability.,,solvable in constant time since any input instance is satisfiable.,,"NP-hard, but not NP-complete.",,B,MCQ,"2CNF-SAT can be reduced to strongly connected components problem.  And strongly connected component has a polynomial time solution.  Therefore 2CNF-SAT is polynomial time solvable.  See https://en.wikipedia.org/wiki/2-satisfiability#Strongly_connected_components for details. As a side note, 3CNFSAT is NP Complete problem.",,Theory of Computation,Computability,Complexity classes P and NP
8,"Consider the function given below. Assume that the array listA contains n (> 0) elements, sorted in ascending order. C++ #include <vector> using namespace std ; int ProcessArray ( vector < int >& listA , int x , int n ) { int i = 0 ; int j = n - 1 ; while ( i <= j ) { int k = ( i + j ) / 2 ; if ( x <= listA [ k ]) { j = k - 1 ; } if ( listA [ k ] <= x ) { i = k + 1 ; } } if ( listA [ k ] == x ) { return k ; } else { return -1 ; } } C #include <stdio.h> int ProcessArray ( int * listA , int x , int n ) { int i , j , k ; i = 0 ; j = n -1 ; do { k = ( i + j ) / 2 ; if ( x <= listA [ k ]) j = k -1 ; if ( listA [ k ] <= x ) i = k + 1 ; } while ( i <= j ); if ( listA [ k ] == x ) return ( k ); else return -1 ; } Java public class Main { public static int ProcessArray ( int [] listA , int x , int n ) { int i = 0 , j = n - 1 , k ; do { k = ( i + j ) / 2 ; if ( x <= listA [ k ] ) j = k - 1 ; if ( listA [ k ] <= x ) i = k + 1 ; } while ( i <= j ); if ( listA [ k ] == x ) return k ; else return - 1 ; } } Python def ProcessArray ( listA , x , n ): i = 0 j = n - 1 while i <= j : k = ( i + j ) // 2 if x <= listA [ k ]: j = k - 1 if listA [ k ] <= x : i = k + 1 if listA [ k ] == x : return k else : return - 1 JavaScript function ProcessArray ( listA , x , n ) { let i = 0 ; let j = n - 1 ; let k ; do { k = Math . floor (( i + j ) / 2 ); if ( x <= listA [ k ]) j = k - 1 ; if ( listA [ k ] <= x ) i = k + 1 ; } while ( i <= j ); if ( listA [ k ] === x ) return k ; else return - 1 ; } Which one of the following statements about the function ProcessArray is CORRECT?",,It will run into an infinite loop when x is not in listA.,,It is an implementation of binary search.,,It will always find the maximum element in listA.,,It will return −1 even when x is present in listA.,,B,MCQ,The function is iterative implementation of Binary Search .  k keeps track of current middle element. i and j keep track of left and right corners of current subarray Hence Option(B) is the correct answer.,,Algorithms,Design Techniques,Searching
9,Suppose depth first search is executed on the graph below starting at some unknown vertex. Assume that a recursive call to visit a vertex is made only after first checking that the vertex has not been visited earlier. Then the maximum possible recursion depth (including the initial call) is _________.,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2014/Question_Images/5a549d8106bd074b-XqVx0BJhSUIvF5WKmlykvcxUWfmzLr.png,17,,18,,19,,20,,C,MCQ,The following diagram shows the worst case situation where the recursion tree has maximum depth. So the recursion depth is 19 (including the first node).,http://www.geeksforgeeks.org/wp-content/uploads/gq/2014/08/GATECS2014Q20Sol-300x89.png,Algorithms,Graph Algorithms,"Graph traversals, minimum spanning trees, shortest paths"
10,"Consider the relational schema given below, where eId of the relation dependent is a foreign key referring to empId of the relation employee. Assume that every employee has at least one associated dependent in the dependent relation. employee ( empId , empName, empAge) dependent( depId , eId, depName, depAge) Consider the following relational algebra query: The above query evaluates to the set of empIds of employees whose age is greater than that of",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2014/Question_Images/0ba331093e8bbe20-2quIuG93qP7FoCmVcal62C0UMw8dC1.webp,some dependent.,,all dependents.,,some of his/her dependents,,all of his/her dependents.,,D,MCQ,"The below subquery after the subtraction sign produces id's of those employees who have at least one dependent with age greater than or equal the employee's age. When the result of above subquery is subtracted from all employees, we get the employees whose age is greater than all dependents.",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2014/Explanation_Images/5962de8c7137841d-qctoYB7UlRNTCHtPAjNUuGVFTjihfB.webp,Databases,Data Models,Relational model (queries)
